t_rel_s,x,y,maneuver_state
0.000000,1199.956909,-82.534073,follow_lane
0.050000,1199.956909,-82.534088,follow_lane
0.100000,1199.956909,-82.534111,follow_lane
0.150000,1199.956909,-82.534119,follow_lane
0.200000,1199.956909,-82.534126,follow_lane
0.250000,1199.956909,-82.534142,follow_lane
0.300000,1199.956909,-82.534142,follow_lane
0.350000,1199.956909,-82.534149,follow_lane
0.400000,1199.956909,-82.534157,follow_lane
0.450000,1199.956909,-82.534157,follow_lane
0.500000,1199.956909,-82.534157,follow_lane
0.550000,1199.956909,-82.534157,follow_lane
0.600000,1199.957886,-82.534164,follow_lane
0.650000,1199.976196,-82.534164,follow_lane
0.700000,1200.011597,-82.534218,follow_lane
0.750000,1200.055542,-82.534294,follow_lane
0.800000,1200.107788,-82.534325,follow_lane
0.850000,1200.168457,-82.534386,follow_lane
0.900000,1200.236694,-82.534477,follow_lane
0.950000,1200.308960,-82.534523,follow_lane
1.000000,1200.387695,-82.534592,follow_lane
1.050000,1200.474365,-82.534683,follow_lane
1.100000,1200.567383,-82.534775,follow_lane
1.150000,1200.666260,-82.534874,follow_lane
1.200000,1200.772583,-82.534950,follow_lane
1.250000,1200.886963,-82.534996,follow_lane
1.300000,1201.010132,-82.535049,follow_lane
1.350000,1201.142700,-82.535095,follow_lane
1.400000,1201.285400,-82.535156,follow_lane
1.450000,1201.438354,-82.535263,follow_lane
1.500000,1201.602051,-82.535347,follow_lane
1.550000,1201.777100,-82.535446,follow_lane
1.600000,1201.963623,-82.535545,follow_lane
1.650000,1202.161011,-82.535645,follow_lane
1.700000,1202.368896,-82.535744,follow_lane
1.750000,1202.586792,-82.535835,follow_lane
1.800000,1202.814697,-82.535973,follow_lane
1.850000,1203.052490,-82.536118,follow_lane
1.900000,1203.300171,-82.536270,follow_lane
1.950000,1203.557617,-82.536415,follow_lane
2.000000,1203.822876,-82.536514,follow_lane
2.050000,1204.085693,-82.536667,follow_lane
2.100000,1204.346558,-82.536667,follow_lane
2.150000,1204.607056,-82.536919,follow_lane
2.200000,1204.868042,-82.536964,follow_lane
2.250000,1205.128906,-82.537224,follow_lane
2.300000,1205.395264,-82.537193,follow_lane
2.350000,1205.688110,-82.537498,follow_lane
2.400000,1205.995239,-82.537788,follow_lane
2.450000,1206.302734,-82.538300,follow_lane
2.500000,1206.607178,-82.538521,follow_lane
2.550000,1206.906982,-82.538971,follow_lane
2.600000,1207.201050,-82.539162,follow_lane
2.650000,1207.488403,-82.539528,follow_lane
2.700000,1207.768799,-82.539650,follow_lane
2.750000,1208.045410,-82.539970,follow_lane
2.800000,1208.320068,-82.540085,follow_lane
2.850000,1208.579224,-82.540359,follow_lane
2.900000,1208.826782,-82.540459,follow_lane
2.950000,1209.063354,-82.540565,follow_lane
3.000000,1209.297119,-82.540695,follow_lane
3.050000,1209.533691,-82.540779,follow_lane
3.100000,1209.776001,-82.540855,follow_lane
3.150000,1210.025879,-82.540947,follow_lane
3.200000,1210.284302,-82.541031,follow_lane
3.250000,1210.545288,-82.541168,follow_lane
3.300000,1210.802734,-82.541275,follow_lane
3.350000,1211.059082,-82.541397,follow_lane
3.400000,1211.315186,-82.541534,follow_lane
3.450000,1211.572754,-82.541672,follow_lane
3.500000,1211.829712,-82.541801,follow_lane
3.550000,1212.092896,-82.541916,follow_lane
3.600000,1212.386719,-82.542068,follow_lane
3.650000,1212.691772,-82.542175,follow_lane
3.700000,1212.996826,-82.542305,follow_lane
3.750000,1213.299072,-82.542450,follow_lane
3.800000,1213.596680,-82.542549,follow_lane
3.850000,1213.888794,-82.542648,follow_lane
3.900000,1214.173950,-82.542740,follow_lane
3.950000,1214.452271,-82.542839,follow_lane
4.000000,1214.726562,-82.542946,follow_lane
4.050000,1215.000122,-82.543076,follow_lane
4.100000,1215.259888,-82.543190,follow_lane
4.150000,1215.509033,-82.543289,follow_lane
4.200000,1215.749146,-82.543388,follow_lane
4.250000,1215.987061,-82.543488,follow_lane
4.300000,1216.228149,-82.543640,follow_lane
4.350000,1216.475098,-82.543777,follow_lane
4.400000,1216.729736,-82.543915,follow_lane
4.450000,1216.992310,-82.544044,follow_lane
4.500000,1217.253540,-82.544228,follow_lane
4.550000,1217.512207,-82.544403,follow_lane
4.600000,1217.769775,-82.544518,follow_lane
4.650000,1218.028442,-82.544647,follow_lane
4.700000,1218.287109,-82.544785,follow_lane
4.750000,1218.545776,-82.544922,follow_lane
4.800000,1218.820923,-82.545059,follow_lane
4.850000,1219.117310,-82.545181,follow_lane
4.900000,1219.419678,-82.545334,follow_lane
4.950000,1219.723511,-82.545479,follow_lane
5.000000,1220.024780,-82.545616,follow_lane
5.050000,1220.322388,-82.545753,follow_lane
5.100000,1220.614136,-82.545898,follow_lane
5.150000,1220.899780,-82.546036,follow_lane
5.200000,1221.178833,-82.546173,follow_lane
5.250000,1221.455322,-82.546318,follow_lane
5.300000,1221.726196,-82.546471,follow_lane
5.350000,1221.981323,-82.546646,follow_lane
5.400000,1222.223267,-82.546768,follow_lane
5.450000,1222.455322,-82.546814,follow_lane
5.500000,1222.685669,-82.546928,follow_lane
5.550000,1222.919556,-82.547066,follow_lane
5.600000,1223.159546,-82.547195,follow_lane
5.650000,1223.407227,-82.547333,follow_lane
5.700000,1223.663696,-82.547470,follow_lane
5.750000,1223.924683,-82.547516,follow_lane
5.800000,1224.182129,-82.547752,follow_lane
5.850000,1224.437866,-82.547745,follow_lane
5.900000,1224.693359,-82.548019,follow_lane
5.950000,1224.949341,-82.548035,follow_lane
6.000000,1225.205200,-82.548302,follow_lane
6.050000,1225.466431,-82.548271,follow_lane
6.100000,1225.754639,-82.548561,follow_lane
6.150000,1226.058228,-82.548882,follow_lane
6.200000,1226.362793,-82.549385,follow_lane
6.250000,1226.664795,-82.549606,follow_lane
6.300000,1226.962402,-82.550034,follow_lane
6.350000,1227.254517,-82.550224,follow_lane
6.400000,1227.540161,-82.550621,follow_lane
6.450000,1227.819092,-82.550751,follow_lane
6.500000,1228.094238,-82.551079,follow_lane
6.550000,1228.368164,-82.551216,follow_lane
6.600000,1228.628906,-82.551445,follow_lane
6.650000,1228.879150,-82.551567,follow_lane
6.700000,1229.119751,-82.551689,follow_lane
6.750000,1229.357300,-82.551788,follow_lane
6.800000,1229.597534,-82.551941,follow_lane
6.850000,1229.843750,-82.552048,follow_lane
6.900000,1230.097656,-82.552155,follow_lane
6.950000,1230.359131,-82.552246,follow_lane
7.000000,1230.619629,-82.552383,follow_lane
7.050000,1230.877197,-82.552521,follow_lane
7.100000,1231.134399,-82.552628,follow_lane
7.150000,1231.391968,-82.552734,follow_lane
7.200000,1231.650146,-82.552834,follow_lane
7.250000,1231.907959,-82.552917,follow_lane
7.300000,1232.183838,-82.553032,follow_lane
7.350000,1232.486816,-82.553185,follow_lane
7.400000,1232.794800,-82.553322,follow_lane
7.450000,1233.102905,-82.553452,follow_lane
7.500000,1233.408203,-82.553589,follow_lane
7.550000,1233.708618,-82.553726,follow_lane
7.600000,1234.003784,-82.553879,follow_lane
7.650000,1234.291870,-82.554024,follow_lane
7.700000,1234.574219,-82.554169,follow_lane
7.750000,1234.852295,-82.554253,follow_lane
7.800000,1235.123291,-82.554382,follow_lane
7.850000,1235.379028,-82.554482,follow_lane
7.900000,1235.624023,-82.554581,follow_lane
7.950000,1235.857910,-82.554672,follow_lane
8.000000,1236.089233,-82.554771,follow_lane
8.050000,1236.323486,-82.554871,follow_lane
8.100000,1236.563843,-82.554970,follow_lane
8.150000,1236.811646,-82.555077,follow_lane
8.200000,1237.068115,-82.555176,follow_lane
8.250000,1237.330200,-82.555275,follow_lane
8.300000,1237.589722,-82.555450,follow_lane
8.350000,1237.847290,-82.555542,follow_lane
8.400000,1238.105103,-82.555679,follow_lane
8.450000,1238.363770,-82.555832,follow_lane
8.500000,1238.622681,-82.555962,follow_lane
8.550000,1238.883667,-82.556114,follow_lane
8.600000,1239.174194,-82.556252,follow_lane
8.650000,1239.481567,-82.556396,follow_lane
8.700000,1239.792725,-82.556541,follow_lane
8.750000,1240.103394,-82.556686,follow_lane
8.800000,1240.411377,-82.556824,follow_lane
8.850000,1240.714478,-82.556969,follow_lane
8.900000,1241.012085,-82.557114,follow_lane
8.950000,1241.302612,-82.557266,follow_lane
9.000000,1241.588745,-82.557411,follow_lane
9.050000,1241.870728,-82.557556,follow_lane
9.100000,1242.140381,-82.557701,follow_lane
9.150000,1242.383667,-82.557304,follow_lane
9.200000,1242.609619,-82.557358,follow_lane
9.250000,1242.829224,-82.557304,follow_lane
9.300000,1243.049561,-82.557381,follow_lane
9.350000,1243.274292,-82.557510,follow_lane
9.400000,1243.506104,-82.557594,follow_lane
9.450000,1243.745850,-82.557625,follow_lane
9.500000,1243.994629,-82.557808,follow_lane
9.550000,1244.252808,-82.558044,follow_lane
9.600000,1244.515625,-82.558243,follow_lane
9.650000,1244.775879,-82.558418,follow_lane
9.700000,1245.034546,-82.558578,follow_lane
9.750000,1245.293823,-82.558716,follow_lane
9.800000,1245.553833,-82.558884,follow_lane
9.850000,1245.814209,-82.559044,follow_lane
9.900000,1246.080444,-82.559204,follow_lane
9.950000,1246.372681,-82.559402,follow_lane
10.000000,1246.674683,-82.559608,follow_lane
10.050000,1246.978516,-82.559814,follow_lane
10.100000,1247.280518,-82.560005,follow_lane
10.150000,1247.578857,-82.560196,follow_lane
10.200000,1247.871826,-82.560341,follow_lane
10.250000,1248.159058,-82.560493,follow_lane
10.300000,1248.439575,-82.560654,follow_lane
10.350000,1248.716797,-82.560791,follow_lane
10.400000,1248.992188,-82.560936,follow_lane
10.450000,1249.253540,-82.561111,follow_lane
10.500000,1249.501709,-82.561264,follow_lane
10.550000,1249.738525,-82.561363,follow_lane
10.600000,1249.971436,-82.561501,follow_lane
10.650000,1250.206421,-82.561638,follow_lane
10.700000,1250.446899,-82.561775,follow_lane
10.750000,1250.695068,-82.561920,follow_lane
10.800000,1250.951660,-82.562057,follow_lane
10.850000,1251.214478,-82.562164,follow_lane
10.900000,1251.480225,-82.562134,follow_lane
10.950000,1251.747192,-82.562042,follow_lane
11.000000,1252.021851,-82.562325,follow_lane
11.050000,1252.301880,-82.562691,follow_lane
11.100000,1252.582642,-82.563354,follow_lane
11.150000,1252.857544,-82.563759,follow_lane
11.200000,1253.127197,-82.563972,follow_lane
11.250000,1253.390503,-82.564140,follow_lane
11.300000,1253.649048,-82.564377,follow_lane
11.350000,1253.903687,-82.564629,follow_lane
11.400000,1254.156738,-82.564835,follow_lane
11.450000,1254.409058,-82.564995,follow_lane
11.500000,1254.663208,-82.565155,follow_lane
11.550000,1254.918213,-82.565331,follow_lane
11.600000,1255.173584,-82.565460,follow_lane
11.650000,1255.440674,-82.565575,follow_lane
11.700000,1255.738647,-82.565727,follow_lane
11.750000,1256.044067,-82.565887,follow_lane
11.800000,1256.350098,-82.566055,follow_lane
11.850000,1256.653442,-82.566208,follow_lane
11.900000,1256.953125,-82.566368,follow_lane
11.950000,1257.247192,-82.566513,follow_lane
12.000000,1257.535400,-82.566666,follow_lane
12.050000,1257.816895,-82.566818,follow_lane
12.100000,1258.095459,-82.566971,follow_lane
12.150000,1258.370117,-82.567116,follow_lane
12.200000,1258.629395,-82.567207,follow_lane
12.250000,1258.875977,-82.567314,follow_lane
12.300000,1259.110962,-82.567413,follow_lane
12.350000,1259.342163,-82.567520,follow_lane
12.400000,1259.575684,-82.567604,follow_lane
12.450000,1259.814941,-82.567711,follow_lane
12.500000,1260.061646,-82.567841,follow_lane
12.550000,1260.317139,-82.567970,follow_lane
12.600000,1260.579834,-82.568169,follow_lane
12.650000,1260.840210,-82.568115,follow_lane
12.700000,1261.098633,-82.568336,follow_lane
12.750000,1261.356934,-82.568329,follow_lane
12.800000,1261.616211,-82.568542,follow_lane
12.850000,1261.875732,-82.568527,follow_lane
12.900000,1262.137817,-82.568604,follow_lane
12.950000,1262.425171,-82.568657,follow_lane
13.000000,1262.732666,-82.569054,follow_lane
13.050000,1263.043945,-82.569244,follow_lane
13.100000,1263.354492,-82.569664,follow_lane
13.150000,1263.661865,-82.569839,follow_lane
13.200000,1263.964600,-82.570236,follow_lane
13.250000,1264.261475,-82.570381,follow_lane
13.300000,1264.551880,-82.570702,follow_lane
13.350000,1264.837646,-82.570831,follow_lane
13.400000,1265.119995,-82.571167,follow_lane
13.450000,1265.378540,-82.571411,follow_lane
13.500000,1265.589233,-82.571220,follow_lane
13.550000,1265.789917,-82.571251,follow_lane
13.600000,1265.988159,-82.571396,follow_lane
13.650000,1266.188354,-82.571465,follow_lane
13.700000,1266.393921,-82.571564,follow_lane
13.750000,1266.607178,-82.571632,follow_lane
13.800000,1266.829346,-82.571701,follow_lane
13.850000,1267.060669,-82.571762,follow_lane
13.900000,1267.301636,-82.571861,follow_lane
13.950000,1267.552490,-82.571983,follow_lane
14.000000,1267.812988,-82.572105,follow_lane
14.050000,1268.075317,-82.572227,follow_lane
14.100000,1268.335449,-82.572334,follow_lane
14.150000,1268.594604,-82.572479,follow_lane
14.200000,1268.855225,-82.572624,follow_lane
14.250000,1269.116333,-82.572762,follow_lane
14.300000,1269.377808,-82.572891,follow_lane
14.350000,1269.655884,-82.573036,follow_lane
14.400000,1269.953857,-82.573189,follow_lane
14.450000,1270.258667,-82.573341,follow_lane
14.500000,1270.565552,-82.573486,follow_lane
14.550000,1270.870483,-82.573631,follow_lane
14.600000,1271.171997,-82.573776,follow_lane
14.650000,1271.468262,-82.573921,follow_lane
14.700000,1271.758789,-82.574074,follow_lane
14.750000,1272.043457,-82.574203,follow_lane
14.800000,1272.324951,-82.574356,follow_lane
14.850000,1272.598389,-82.574509,follow_lane
14.900000,1272.848755,-82.574654,follow_lane
14.950000,1273.080688,-82.574760,follow_lane
15.000000,1273.305420,-82.574860,follow_lane
15.050000,1273.530029,-82.574959,follow_lane
15.100000,1273.759155,-82.575066,follow_lane
15.150000,1273.994995,-82.575165,waiting_left
15.200000,1274.238647,-82.575310,waiting_left
15.250000,1274.486328,-82.575447,waiting_left
15.300000,1274.731689,-82.575592,waiting_left
15.350000,1274.969238,-82.575737,waiting_left
15.400000,1275.196045,-82.575851,waiting_left
15.450000,1275.409790,-82.575943,waiting_left
15.500000,1275.610718,-82.576042,waiting_left
15.550000,1275.799561,-82.576141,waiting_left
15.600000,1275.977173,-82.576248,waiting_left
15.650000,1276.145020,-82.576347,waiting_left
15.700000,1276.302979,-82.576447,waiting_left
15.750000,1276.451904,-82.576538,waiting_left
15.800000,1276.591797,-82.576637,waiting_left
15.850000,1276.723755,-82.576714,waiting_left
15.900000,1276.848022,-82.576759,waiting_left
15.950000,1276.965088,-82.576805,waiting_left
16.000000,1277.075073,-82.576851,waiting_left
16.050000,1277.178833,-82.576904,waiting_left
16.100000,1277.276367,-82.576950,waiting_left
16.150000,1277.368286,-82.577003,waiting_left
16.200000,1277.454956,-82.577049,waiting_left
16.250000,1277.527344,-82.577095,waiting_left
16.300000,1277.577759,-82.577133,waiting_left
16.350000,1277.628540,-82.577148,waiting_left
16.400000,1277.679077,-82.577187,waiting_left
16.450000,1277.729736,-82.577232,waiting_left
16.500000,1277.780151,-82.577263,waiting_left
16.550000,1277.831055,-82.577293,waiting_left
16.600000,1277.882202,-82.577339,waiting_left
16.650000,1277.934082,-82.577370,waiting_left
16.700000,1277.986328,-82.577423,waiting_left
16.750000,1278.039551,-82.577469,waiting_left
16.800000,1278.093750,-82.577507,waiting_left
16.850000,1278.148926,-82.577560,waiting_left
16.900000,1278.203857,-82.577606,waiting_left
16.950000,1278.258301,-82.577606,waiting_left
17.000000,1278.312134,-82.577644,waiting_left
17.050000,1278.365356,-82.577644,waiting_left
17.100000,1278.417725,-82.577675,waiting_left
17.150000,1278.469604,-82.577682,waiting_left
17.200000,1278.520386,-82.577682,waiting_left
17.250000,1278.570312,-82.577675,waiting_left
17.300000,1278.618896,-82.577675,waiting_left
17.350000,1278.666382,-82.577675,waiting_left
17.400000,1278.712646,-82.577675,waiting_left
17.450000,1278.758301,-82.577675,waiting_left
17.500000,1278.802734,-82.577682,waiting_left
17.550000,1278.846436,-82.577682,waiting_left
17.600000,1278.889404,-82.577690,waiting_left
17.650000,1278.931519,-82.577690,waiting_left
17.700000,1278.972900,-82.577705,waiting_left
17.750000,1279.013672,-82.577713,waiting_left
17.800000,1279.053833,-82.577721,waiting_left
17.850000,1279.093140,-82.577721,waiting_left
17.900000,1279.131592,-82.577736,waiting_left
17.950000,1279.169556,-82.577751,waiting_left
18.000000,1279.206909,-82.577759,waiting_left
18.050000,1279.243774,-82.577789,waiting_left
18.100000,1279.280029,-82.577805,waiting_left
18.150000,1279.315796,-82.577805,waiting_left
18.200000,1279.350952,-82.577827,waiting_left
18.250000,1279.385742,-82.577858,waiting_left
18.300000,1279.420166,-82.577858,waiting_left
18.350000,1279.453979,-82.577866,waiting_left
18.400000,1279.487671,-82.577888,waiting_left
18.450000,1279.520630,-82.577911,waiting_left
18.500000,1279.526733,-82.577911,waiting_left
18.550000,1279.531982,-82.577881,waiting_left
18.600000,1279.538208,-82.577888,waiting_left
18.650000,1279.545166,-82.577896,waiting_left
18.700000,1279.553833,-82.577919,waiting_left
18.750000,1279.567139,-82.577934,waiting_left
18.800000,1279.583374,-82.577896,waiting_left
18.850000,1279.603271,-82.577888,waiting_left
18.900000,1279.623535,-82.577789,waiting_left
18.950000,1279.644287,-82.577721,waiting_left
19.000000,1279.664795,-82.577621,waiting_left
19.050000,1279.686890,-82.577560,waiting_left
19.100000,1279.708496,-82.577408,waiting_left
